pitch,roll,yaw
-129.07768501284212,-11.047912491568379,-52.39785132265346
-108.04272071120624,-5.664603936577361,-43.86581993212365
-114.01861021574373,-7.822275727366824,-41.857637961477295
-115.40924160374797,-7.608649795651519,-35.793680139355374
-108.62010977180788,-7.2314734153544435,-20.735643089884512
-105.21196116785278,-7.113138419255027,-26.235775377390667
-105.81772589980913,-10.460746398561852,-27.74644500477887
-130.1263920165117,-21.3210021625353,-30.47437571442394
-120.0177192617563,-11.350637823675807,-39.42594836665227
-89.70069859492462,-19.66326774998998,-33.92649948585442
-85.42844866067058,-18.211487794328466,-42.9583643177387
-84.78511959037702,-14.396399010601437,-37.76674390003235
-64.43288804868746,-17.018571931529074,-41.26132845703763
-71.28589041195968,-18.194986315935093,-37.673428648680044
-70.67096422773272,-12.947147710717198,-46.603143672924745
-72.77446834960936,-10.762198766490037,-51.24314120478366
-59.44134257823802,-15.128086271290265,-57.40546000890086
-48.22392021270517,-13.923683125925951,-56.11100603442439
-45.63027027697302,-15.783220657787485,-54.240605424973104
-62.13844711434992,-17.672898323669763,-55.522272486311934
-54.97110877238982,-17.633110282238448,-72.42683434419868
-47.799007114739815,-18.485913835022682,-68.49755777719868
-39.67366278393469,-21.47850137428251,-66.08550895012831
-44.39780739849276,-16.525388102305694,-65.30688698791943
-48.72005153873812,-15.735531862742986,-78.41087416278262
-49.84555467086245,-15.645246158520276,-78.37494661102801
-49.536668896829134,-16.058059998275574,-74.14110647198963
-63.478301627258595,-18.40162713179761,-81.02669631281802
-60.19117702681868,-22.90953821131076,-76.8435035866548
-56.389484760173126,-16.619174668920873,-78.10209431257661
-55.57708009038359,-18.298973538852405,-76.92640343056682
-72.27365592770008,-20.534329980442205,-80.02722768324116
-98.40934922894434,-20.18160232442205,-84.8575642954709
-101.70539632331545,-22.293465071446423,-85.73791609117012
-83.62820800985958,-24.972310872701367,-78.36271132102588
-82.00720699747274,-22.70189561998914,-78.056643911676
-106.53684654323843,-22.42358369946596,-88.27259079611062
-111.3883276293272,-25.52397246026369,-93.67306156613458
-103.98231589633507,-24.70118925198456,-95.1855121457583
-100.73419417705304,-24.432707921514698,-92.85650253836377
-85.21775495675467,-28.14764039441872,-95.83567845761144
-84.9641284471579,-30.260729462948394,-89.94035221459426
-90.87552429937784,-34.72916905627342,-81.56149644938742
-89.64262285562708,-31.945881146623904,-79.29941655388214
-87.51921405073826,-27.984541202411705,-90.72725046061201
-85.25009757404969,-24.21760054444843,-71.1406293373164
-90.45620013066333,-22.234137951122708,-63.85980875890847
-81.13292543247294,-24.7537844552571,-65.74916128379746
-80.85520366868316,-26.286227403839135,-72.28268349685823
-86.61425531516184,-27.896717808956755,-71.89862266382288
-80.61528543228914,-27.173953475913514,-71.89686721068085
-87.84707518056,-24.346317522046217,-75.7000523716263
-83.28592612238032,-26.93559292887069,-67.25554281915615
-80.53853019999474,-26.717098639786315,-63.04876788077762
-89.94210959908557,-24.298821727135902,-49.05342381951548
-87.7465651575819,-23.319404323174176,-56.11009601737823
-91.24021161488452,-10.333378082820579,-56.17399561611908
-106.51635643303695,-12.308381228505603,-53.83957000998141
-92.14767650826786,-15.068555767396989,-54.60336716178339
-98.96541890618575,-14.255724389712304,-53.727679850145755
-85.92509773171786,-15.46060977533024,-48.46699701966917
-84.90801837556288,-12.663507914170081,-46.82776103664574
-84.81727254309085,-12.270502498868877,-44.14668002649051
-82.10174212858423,-14.126236586455487,-42.92232138062827
-87.82339680329767,-17.470595337471707,-42.41804648845049
-91.02444234767438,-13.23898095248204,-45.12417700679547
-88.26280979712566,-17.65437083704364,-50.64942860699269
-83.8302373699169,-20.055385805120224,-59.619108819707456
-83.06433356152016,-24.28359921723179,-67.15357997673351
-68.64478479448958,-24.828292426069005,-70.60533699360509
-69.45169691860114,-24.445916770950504,-77.32204862631741
-72.02659105205234,-21.671074477962957,-75.91208644747402
-81.40073307567359,-26.757338434225556,-74.75754767761852
-90.42485061285409,-19.936962217102245,-71.25075793530483
