,speed,kmh,yaw,rad,pirad,Fuzzy Value
0,speed,kmh,yaw,rad,pirad,0.0
61,7.45E+00,26.81999931,86.1312785,1.503163674,0.478714546,0.4999999999999999
62,7.28E+00,26.20800076,-56.26668019,-0.981966495,-0.312728183,0.4999999999999999
63,7.29E+00,26.24399986,-37.38322965,-0.652412385,-0.207774645,0.4999999999999999
64,7.52E+00,27.07199993,-45.57928552,-0.795450009,-0.253328028,0.4999999999999999
65,7.58E+00,27.28799973,103.5678394,1.807466656,0.575626324,0.5523492825002158
66,7.72E+00,27.79199924,131.3176782,2.291757037,0.729858929,0.6497853691781914
67,7.53E+00,27.10800076,200.172997,3.493420541,1.112554312,0.8238095238095238
68,7.54E+00,27.14399986,204.0672734,3.56138348,1.13419856,0.8238095238095238
69,7.46E+00,26.85600014,285.782558,4.987479197,1.588369171,0.8238095238095238
70,7.43E+00,26.74799938,366.7167331,6.399942986,2.038198403,0.8238095238095238
71,7.47E+00,26.89199924,378.9024938,6.612608967,2.105926423,0.8238095238095238
72,7.27E+00,26.17199993,323.7532562,5.650144087,1.799408945,0.8238095238095238
73,7.25E+00,26.1,310.3961196,5.417035246,1.725170461,0.8238095238095238
74,6.72E+00,24.19199924,307.6641999,5.369357764,1.709986549,0.8238095238095238
75,6.43E+00,23.14799938,306.5480709,5.349879073,1.703783144,0.8238095238095238
76,5.82E+00,20.95200062,324.1730877,5.65747099,1.801742353,0.8238095238095238
77,6.28E+00,22.60800076,322.635966,5.630645131,1.793199086,0.8238095238095238
78,6.23E+00,22.42800007,262.3923823,4.579273688,1.458367416,0.8238095238095238
79,6.02E+00,21.67199993,171.5163928,2.993305284,0.953281938,0.7913352407568435
80,5.89E+00,21.20399952,130.9979108,2.286176454,0.728081673,0.6486797381636505
81,5.85E+00,21.05999966,126.1907234,2.202281386,0.701363499,0.6320840012345785
82,5.70E+00,20.51999931,123.7847423,2.160292187,0.687991142,0.6237793789989008
83,6.07E+00,21.85200062,79.64309544,1.389931858,0.442653458,0.4999999999999999
84,6.07E+00,21.85200062,138.7344973,2.421195415,0.771081342,0.675421278094611
