,Unnamed: 0,speed,kmh,yaw,rad,pirad,Fuzzy Value,Driver
78,78,7.289999962,26.24399986,-73.79055854,-1.288406578,-0.409947547,0.4999999999999999,Normal
79,79,7.21999979,25.99199924,-68.9488541,-1.203868881,-0.383049189,0.4999999999999999,Normal
80,80,7.53000021,27.10800076,-55.6329374,-0.971368748,-0.309071874,0.4999999999999999,Normal
81,81,7.53000021,27.10800076,-52.47792315,-0.916281198,-0.291544018,0.4999999999999999,Normal
82,82,7.630000114,27.46800041,-43.9637742,-0.767621454,-0.24424319,0.4999999999999999,Normal
83,83,7.900000095,28.44000034,-41.95370831,-0.732525066,-0.233076157,0.4999999999999999,Normal
84,84,7.880000114,28.36800041,-35.87078179,-0.626315238,-0.199282121,0.4999999999999999,Normal
85,85,7.389999866,26.60399952,-20.79937479,-0.363163687,-0.115552082,0.4999999999999999,Normal
86,86,7.599999905,27.35999966,-26.30103792,-0.459224472,-0.146116877,0.4999999999999999,Normal
87,87,7.639999866,27.50399952,-27.81171583,-0.485601388,-0.154509532,0.4999999999999999,Normal
88,88,7.5,27,-30.54120031,-0.533259053,-0.169673335,0.4999999999999999,Normal
89,89,8,28.8,-39.48867466,-0.689484796,-0.219381526,0.4999999999999999,Normal
90,90,8.18999958,29.48399849,-34.00447231,-0.593728882,-0.188913735,0.4999999999999999,Normal
91,91,8,28.8,-43.03645926,-0.751430241,-0.23909144,0.4999999999999999,Normal
92,92,7.949999809,28.61999931,-37.82522722,-0.660440475,-0.210140151,0.4999999999999999,Normal
93,93,7.860000134,28.29600048,-41.32067349,-0.721472077,-0.229559297,0.4999999999999999,Normal
94,94,7.949999809,28.61999931,-37.73064281,-0.658789001,-0.209614682,0.4999999999999999,Normal
95,95,8.06000042,29.01600151,-46.66051417,-0.81470739,-0.259225079,0.4999999999999999,Normal
96,96,8.109999657,29.19599877,-51.29982825,-0.895711287,-0.284999046,0.4999999999999999,Normal
97,97,8.199999809,29.51999931,-57.4644731,-1.003347943,-0.319247073,0.4999999999999999,Normal
98,98,8.109999657,29.19599877,-56.17160026,-0.980773973,-0.312064446,0.4999999999999999,Normal
99,99,8.270000458,29.77200165,-54.29990646,-0.948093605,-0.301666147,0.4999999999999999,Normal
100,100,7.96999979,28.69199924,-55.58120693,-0.970465518,-0.308784483,0.4999999999999999,Normal
101,101,7.940000057,28.58400021,-72.48668709,-1.265640568,-0.402703817,0.4999999999999999,Normal
102,102,7.849999905,28.25999966,-68.55495344,-1.196991251,-0.380860852,0.4999999999999999,Normal
103,103,8.220000267,29.59200096,-66.14410097,-1.154897001,-0.367467228,0.4999999999999999,Normal
104,104,8.010000229,28.83600082,-65.36598769,-1.141310896,-0.363144376,0.4999999999999999,Normal
105,105,7.989999771,28.76399918,-78.48231328,-1.370326105,-0.436012852,0.4999999999999999,Normal
106,106,7.849999905,28.25999966,-78.44599904,-1.369692047,-0.435811106,0.4999999999999999,Normal
107,107,7.820000172,28.15200062,-74.21445107,-1.295807876,-0.412302506,0.4999999999999999,Normal
108,108,8.109999657,29.19599877,-81.07546434,-1.415603346,-0.450419246,0.4999999999999999,Normal
109,109,7.840000153,28.22400055,-76.89402745,-1.34259413,-0.427189041,0.4999999999999999,Normal
110,110,8.109999657,29.19599877,-78.1547693,-1.364607083,-0.434193163,0.4999999999999999,Normal
111,111,8.279999733,29.80799904,-76.97839067,-1.344067139,-0.427657726,0.4999999999999999,Normal
112,112,8.109999657,29.19599877,-80.0779667,-1.39818672,-0.444877593,0.4999999999999999,Normal
113,113,8.06000042,29.01600151,-84.9069943,-1.482503075,-0.471705524,0.4999999999999999,Normal
114,114,7.960000038,28.65600014,-85.78996717,-1.497920062,-0.476610929,0.4999999999999999,Normal
115,115,7.949999809,28.61999931,-78.43095027,-1.36942929,-0.435727502,0.4999999999999999,Normal
116,116,8.18999958,29.48399849,-78.12548056,-1.364095692,-0.434030448,0.4999999999999999,Normal
117,117,8.520000458,30.67200165,-88.36493969,-1.542879899,-0.490916332,0.4760868468273886,Normal
118,118,8.420000076,30.31200027,-93.76735452,-1.637207777,-0.520929747,0.4849631391810463,Normal
119,119,7.769999981,27.97199993,-95.28032696,-1.663624756,-0.52933515,0.4790569852173961,Normal
120,120,7.75,27.9,-92.9506417,-1.622947712,-0.516392454,0.4881816109936616,Normal
121,121,7.699999809,27.71999931,-95.9313483,-1.674991796,-0.532951935,0.4765371017747952,Normal
122,122,7.880000114,28.36800041,-90.04218186,-1.57216508,-0.500234344,0.4998288321031635,Normal
123,123,7.809999943,28.11599979,-81.68055474,-1.426168416,-0.45378086,0.4999999999999999,Normal
124,124,7.670000076,27.61200027,-79.41630487,-1.386633895,-0.441201694,0.4999999999999999,Normal
125,125,7.610000134,27.39600048,-90.81928236,-1.585733502,-0.504551569,0.49668729946346,Normal
126,126,7.760000229,27.93600082,-71.2385338,-1.243847416,-0.395769632,0.4999999999999999,Normal
127,127,7.599999905,27.35999966,-63.95825049,-1.116731358,-0.355323614,0.4999999999999999,Normal
128,128,7.670000076,27.61200027,-65.84576074,-1.149687886,-0.365809782,0.4999999999999999,Normal
129,129,7.590000153,27.32400055,-72.37714502,-1.263727929,-0.40209525,0.4999999999999999,Normal
130,130,7.710000038,27.75600014,-71.99500029,-1.257055561,-0.399972224,0.4999999999999999,Normal
131,131,7.630000114,27.46800041,-71.9927127,-1.257015619,-0.399959515,0.4999999999999999,Normal
132,132,7.809999943,28.11599979,-75.7927211,-1.323364972,-0.421070673,0.4999999999999999,Normal
133,133,7.909999847,28.47599945,-67.3401879,-1.175781059,-0.374112155,0.4999999999999999,Normal
134,134,7.920000076,28.51200027,-63.13271938,-1.102317323,-0.35073733,0.4999999999999999,Normal
135,135,7.980000019,28.72800007,-49.11353278,-0.857537874,-0.27285296,0.4999999999999999,Normal
136,136,8.109999657,29.19599877,-56.18377308,-0.980986514,-0.312132073,0.4999999999999999,Normal
137,137,8.159999847,29.37599945,-56.24735761,-0.98209672,-0.31248532,0.4999999999999999,Normal
138,138,8.06000042,29.01600151,-53.91047405,-0.941293991,-0.299502634,0.4999999999999999,Normal
139,139,7.980000019,28.72800007,-54.67443056,-0.954632915,-0.303746836,0.4999999999999999,Normal
