speed,kmh,yaw,rad,pirad
3.38E+00,12.16800041,125.4599942,2.189528695,0.697302132
3.20E+00,11.52000017,139.2646503,2.430447649,0.774027914
3.42E+00,12.31200027,172.3437224,3.007743846,0.957880206
3.76E+00,13.53599996,175.7534586,3.067250586,0.976831397
4.31E+00,15.51599979,190.7613126,3.329167759,1.060244509
4.36E+00,15.69600048,204.7270504,3.572897913,1.137865577
4.69E+00,16.88400021,210.9264384,3.681089675,1.172321553
5.38E+00,19.36800041,215.5752509,3.762220784,1.198159485
5.77E+00,20.77199993,185.0939047,3.230260117,1.02874526
6.12E+00,22.03199959,189.9238345,3.314552086,1.055589836
6.67E+00,24.01200027,192.0570076,3.351780237,1.067445935
7.53E+00,27.10800076,193.9261818,3.384401079,1.077834738
8.49E+00,30.56399918,205.7602125,3.590928665,1.143607855
8.62E+00,31.03199959,211.7599892,3.69563681,1.176954398
8.52E+00,30.67200165,186.4325203,3.253621646,1.036185237
9.13E+00,32.86800041,160.3753477,2.798871688,0.89136041
9.73E+00,35.02799835,161.0160287,2.810052857,0.894921292
1.03E+01,36.93600083,180.7785521,3.154948553,1.004760686
1.06E+01,38.2680004,189.4713517,3.306655353,1.053074953
1.10E+01,39.52799834,180.8611664,3.156390339,1.005219853
1.14E+01,41.00400122,139.2646503,2.430447649,0.774027914
1.18E+01,25.01999931,41.18962012,0.718841538,0.228930426
1.20E+01,25.23600082,46.24571994,0.807080627,0.257032047
1.21E+01,26.17199993,41.62424159,0.726426555,0.231346037
1.20E+01,26.28000069,-77.3305161,-1.349572707,-0.429800225
1.21E+01,25.23600082,78.81471205,1.375474905,0.438049333
1.22E+01,25.74000034,62.77595649,1.095566431,0.348906507
1.23E+01,26.64000034,26.77914508,0.467349827,0.148837524
1.25E+01,27.03600082,25.79667783,0.450203802,0.143377007
1.25E+01,27.68400021,17.34496323,0.302704419,0.096402681
1.27E+01,28.40399952,7.50721583,0.131015983,0.041724835
1.27E+01,29.26800041,-2.901594875,-0.050638654,-0.01612696
1.28E+01,28.72800007,-5.308931501,-0.09265151,-0.02950685
1.30E+01,28.76399918,-12.38751479,-0.216186995,-0.068849361
1.32E+01,28.22400055,-8.883819144,-0.155040474,-0.049375947
1.33E+01,26.49600048,-11.66752933,-0.203621803,-0.064847708
1.34E+01,24.91200027,-12.16276358,-0.212264635,-0.067600202
1.33E+01,22.75200062,-16.18379508,-0.282439705,-0.089948951
1.33E+01,21.81599979,-21.44997441,-0.374345103,-0.119218186
1.33E+01,20.34000034,-26.30309881,-0.459041864,-0.146191676
1.32E+01,17.56800041,-25.44691401,-0.444099721,-0.141433032
1.29E+01,15.55200062,-23.68903608,-0.413421223,-0.13166281
1.29E+01,14.07600031,-25.23700159,-0.440436328,-0.140266346
1.29E+01,12.88799973,-30.80832998,-0.53766719,-0.171231589
1.30E+01,11.41200027,-33.86411946,-0.590996849,-0.188215557
1.26E+01,29.26800041,198.4596581,3.463519339,1.103031636
1.25E+01,44.89200097,190.7232855,3.32850411,1.060033156
1.24E+01,44.71200029,183.4716824,3.201949082,1.019729007
1.26E+01,45.50400122,177.707043,3.101344555,0.987689349
1.29E+01,46.58399849,178.146997,3.109022635,0.990134597
1.31E+01,47.01600151,180.784248,3.155047958,1.004792343
1.30E+01,46.8,178.0146486,3.10671289,0.98939901
1.31E+01,47.2680004,177.7247964,3.101654387,0.987788021
1.29E+01,46.47599946,174.707781,3.049001414,0.971019558
1.29E+01,46.3319996,170.6385336,2.97798488,0.948402828
1.28E+01,45.97200166,188.3507062,3.287097839,1.046846446
1.26E+01,45.18000068,178.4252883,3.113879377,0.99168133
1.25E+01,44.85600014,187.6844597,3.275470501,1.043143472
1.26E+01,45.28799971,192.813007,3.364973944,1.071647753
1.25E+01,44.96399917,186.338351,3.251978202,1.035661848
1.21E+01,43.70400122,186.2717279,3.250815496,1.035291559
1.16E+01,41.65199888,189.9001221,3.314138257,1.055458043
1.13E+01,40.53600083,187.135266,3.265885969,1.040091073
1.11E+01,40.10400122,179.9670996,3.140787079,1.000250662
1.11E+01,39.85199888,175.0617261,3.055178466,0.972986773
1.09E+01,39.41999932,157.1599435,2.742756431,0.873489309
1.09E+01,39.23999863,152.4951199,2.661345897,0.847562388
1.08E+01,38.77200166,142.9002499,2.493896159,0.794234445
1.05E+01,37.76399917,148.7460433,2.595916986,0.826725155
1.02E+01,36.57599946,150.0433199,2.618557066,0.833935371
9.80E+00,35.28000069,149.4613588,2.608400677,0.830700853
9.40E+00,33.83999863,151.7441583,2.64824011,0.84338857
9.05E+00,32.58000069,153.4134856,2.677373222,0.852666631
8.68E+00,31.2480011,159.9121619,2.790788166,0.88878604
8.52E+00,30.67200165,169.38644,2.956133333,0.941443737
8.26E+00,29.73600082,165.3048086,2.884900674,0.918758176
7.48E+00,26.92800007,159.0364732,2.77550564,0.883918994
6.97E+00,25.09199924,164.7382457,2.875013014,0.91560924
6.68E+00,24.04799938,213.766367,3.730652129,1.188105774
6.17E+00,22.21200027,224.1970476,3.91268844,1.246079121
5.99E+00,21.56399918,266.3509433,4.648358522,1.480368956
5.41E+00,19.47599945,275.4155459,4.80655403,1.530749691
5.31E+00,19.11599979,297.2883666,5.188278649,1.652318041
5.15E+00,18.54000034,299.809289,5.232273805,1.666329237
6.00E+00,21.6,299.5382166,5.227543047,1.664822626
5.79E+00,20.84399986,293.2025566,5.116973065,1.629609256
6.18E+00,22.24799938,276.9761035,4.833788892,1.539423214
6.78E+00,24.40800076,235.4996217,4.109941042,1.308898421
7.19E+00,25.88400021,229.0156223,3.996782239,1.272860586
7.72E+00,27.79199924,229.1797496,3.99964659,1.273772799
8.12E+00,29.23199959,231.8206009,4.045734745,1.288450556
8.40E+00,30.23999863,227.6739632,3.973367595,1.265403693
8.82E+00,31.7519989,210.0131841,3.665151555,1.167245718
9.28E+00,33.40799904,209.5616854,3.657271997,1.164736305
9.79E+00,35.24399986,205.0963677,3.579343241,1.13991823
1.01E+01,36.32400054,205.3289414,3.583402119,1.141210866
1.03E+01,37.11600151,204.405069,3.567278691,1.136076016
1.05E+01,37.76399917,203.2859297,3.547747464,1.12985588
1.09E+01,39.09599878,210.0943754,3.666568506,1.167696976
1.10E+01,39.6,208.1050025,3.631849956,1.156640113
1.13E+01,40.64399986,208.8685901,3.645176092,1.160884106
1.14E+01,41.03999863,206.5577302,3.604846949,1.14804043
1.12E+01,40.35600014,195.4944103,3.411769813,1.086550896
1.14E+01,40.9680004,187.9914593,3.28082826,1.044849764
1.16E+01,41.8319996,184.9816562,3.228301155,1.028121387
1.16E+01,41.93999863,187.1294295,3.26578411,1.040058634
1.18E+01,42.55199888,185.2483153,3.232954892,1.029603469
1.15E+01,41.29200097,169.2761542,2.954208625,0.940830772
1.20E+01,43.30799903,145.4865481,2.539032253,0.808608998
1.20E+01,43.30799903,159.8958124,2.790502834,0.88869517
1.20E+01,43.12799834,149.6183819,2.611141045,0.831573581
1.22E+01,43.88399849,146.9825554,2.565140583,0.816923753
1.23E+01,44.31600151,141.7051416,2.47303912,0.787592077
1.23E+01,44.24399986,140.7857414,2.456993742,0.782482083
1.24E+01,44.63999863,138.9505324,2.424965661,0.772282058
1.25E+01,45.10799903,134.8370558,2.353177239,0.749419503
1.25E+01,45.07200166,135.305683,2.361355724,0.752024116
1.23E+01,44.38799971,130.5910256,2.27907549,0.72582022
1.22E+01,44.02799834,185.1609109,3.23142951,1.029117678
1.18E+01,42.55199888,165.9973251,2.896986476,0.922607158
1.15E+01,41.54399986,168.8080252,2.946038834,0.938228928
1.15E+01,41.54399986,167.8961495,2.930124773,0.933160756
1.15E+01,41.4,176.0558355,3.07252767,0.978511997
1.11E+01,40.0680004,177.0866245,3.090517007,0.984241085
1.11E+01,39.85199888,200.0291852,3.490910736,1.111755012
1.11E+01,39.96000137,200.7458192,3.503417438,1.115738038
1.10E+01,39.67200166,203.499389,3.551472757,1.131042279
1.11E+01,40.10400122,200.8656146,3.505508108,1.116403856
1.12E+01,40.39200097,206.4512392,3.602988468,1.147448557
1.11E+01,40.10400122,207.6876998,3.624567187,1.15432076
1.14E+01,40.89599878,214.7779248,3.748305843,1.193727975
1.15E+01,41.43600083,207.5321535,3.621852592,1.153456239
1.15E+01,41.29200097,209.0732359,3.648747572,1.16202152
1.14E+01,41.21999932,204.7745148,3.573726262,1.138129383
1.16E+01,41.8680004,202.9631446,3.542114216,1.128061852
1.19E+01,42.91200029,193.610693,3.378895166,1.076081263
1.19E+01,42.94800112,188.5348816,3.29031207,1.047870086
1.16E+01,41.90400122,188.7480482,3.294032255,1.049054858
1.16E+01,41.58000068,192.3099669,3.356194885,1.068851874
1.17E+01,42.08399849,184.2993744,3.216393969,1.024329289
1.16E+01,41.93999863,194.8611142,3.400717525,1.083031059
1.16E+01,41.58000068,178.670847,3.118164869,0.993046137
1.13E+01,40.78799971,175.8121124,3.068274213,0.977157393
1.13E+01,40.71600151,168.5164643,2.940950511,0.936608443
1.12E+01,40.28399849,137.7921329,2.404749265,0.765843715
1.10E+01,39.74399986,152.7195009,2.665261796,0.848809489
1.11E+01,39.88799971,145.352429,2.536691606,0.807863569
1.11E+01,39.78000068,137.4389301,2.398585168,0.763880627
1.11E+01,39.92400054,139.9123541,2.44175138,0.777627828
1.11E+01,40.0680004,139.3692045,2.43227233,0.774609022
1.10E+01,39.70799903,135.718399,2.368558447,0.754317977
1.07E+01,38.66399917,148.9669173,2.599771681,0.827952765
1.09E+01,39.23999863,151.7305718,2.648002998,0.843313057
1.08E+01,38.77200166,148.6111291,2.593562462,0.825975307
1.09E+01,39.09599878,163.3563745,2.850896588,0.90792885
1.09E+01,39.41999932,165.0036847,2.879645457,0.917084541
1.09E+01,39.09599878,167.1407626,2.916941756,0.928962343
1.11E+01,39.78000068,175.7436587,3.067079558,0.976776929
1.12E+01,40.24800112,175.1299707,3.056369471,0.973366074
1.11E+01,39.92400054,180.7320019,3.154136159,1.004501961
1.10E+01,39.56399917,180.2376324,3.145508419,1.001754274
1.09E+01,39.34800112,171.1658951,2.987188396,0.951333884
1.08E+01,38.77200166,171.1368919,2.986682232,0.951172685
9.25E+00,33.3,175.4090806,3.061240499,0.974917356
8.60E+00,30.96000137,156.7263463,2.73518929,0.871079392
8.32E+00,29.9519989,151.9489728,2.651814534,0.844526922
8.07E+00,29.0519989,141.5332168,2.470038688,0.786636525
7.89E+00,28.40399952,139.3852262,2.432551941,0.77469807
7.90E+00,28.44000034,118.2306137,2.063361496,0.657121495
7.88E+00,28.36800041,120.6388609,2.105390243,0.670506447
7.97E+00,28.69199924,149.358118,2.606598918,0.830127044
7.99E+00,28.76399918,135.7732224,2.369515225,0.754622683
8.06E+00,29.01600151,136.2666397,2.378126347,0.757365079
8.05E+00,28.98000069,142.7437676,2.491165229,0.793364722
7.97E+00,28.69199924,152.4144747,2.659938476,0.847114164
7.91E+00,28.47599945,158.4373624,2.765049955,0.880589158
7.91E+00,28.47599945,142.5837288,2.48837223,0.792475233
7.94E+00,28.58400021,144.3928842,2.519945623,0.802530453
7.92E+00,28.51200027,145.0083294,2.530686377,0.805951075
7.89E+00,28.40399952,145.3301719,2.536303175,0.807739864
7.94E+00,28.58400021,140.0289425,2.443786082,0.778275822
8.02E+00,28.87200165,136.192649,2.376835061,0.756953841
7.86E+00,28.29600048,144.5929612,2.523437368,0.803642474
7.89E+00,28.40399952,156.2729658,2.72727689,0.868559519
7.84E+00,28.22400055,149.460629,2.608387941,0.830696796
7.83E+00,28.18799973,148.8101784,2.597036272,0.827081615
7.79E+00,28.04399986,144.9740007,2.530087272,0.805760278
7.71E+00,27.75600014,147.6801958,2.577315808,0.820801213
7.63E+00,27.46800041,149.9491143,2.61691299,0.83341178
7.68E+00,27.64799938,148.1448161,2.585424365,0.823383556
7.65E+00,27.54000034,150.8051585,2.631852679,0.838169643
7.64E+00,27.50399952,149.7949099,2.614221813,0.832554718
7.75E+00,27.9,153.2541967,2.674593311,0.851781309
7.87E+00,28.33199959,147.3168994,2.570975557,0.818782024
7.98E+00,28.72800007,149.949649,2.616922321,0.833414752
7.90E+00,28.44000034,168.6043457,2.942484218,0.937096885
8.00E+00,28.8,168.3674464,2.93834985,0.935780207
8.06E+00,29.01600151,167.7341024,2.927296726,0.932260104
8.10E+00,29.16000137,168.0272621,2.932412951,0.933889475
8.45E+00,30.41999931,159.422154,2.782236545,0.886062594
8.70E+00,31.31999931,162.8850954,2.842671822,0.905309497
8.91E+00,32.07599945,159.8222724,2.789219414,0.888286437
9.26E+00,33.33600082,160.5218492,2.801428433,0.89217466
9.57E+00,34.4519989,155.9896838,2.722333051,0.866985048
9.63E+00,34.66800041,143.8360672,2.510228049,0.799435684
9.69E+00,34.88399849,137.8859396,2.40638638,0.766365089
9.67E+00,34.81200027,131.602983,2.296736178,0.731444643
9.60E+00,34.56000137,132.7933224,2.31750999,0.738060506
9.62E+00,34.63199959,132.9874741,2.320898326,0.739139594
9.52E+00,34.27200165,118.1520528,2.06199045,0.656684857
9.44E+00,33.98399849,114.9404606,2.005941721,0.638834943
9.36E+00,33.69599877,116.6666638,2.036067431,0.648429118
9.41E+00,33.87599945,114.2442386,1.99379125,0.634965366
9.37E+00,33.73199959,120.8597308,2.109244866,0.671734034
9.41E+00,33.87599945,143.811014,2.50979082,0.79929644
9.38E+00,33.76800041,146.4863354,2.556480548,0.81416578
9.31E+00,33.51600151,126.0544654,2.19990341,0.700606182
9.21E+00,33.15600014,144.0231378,2.513492806,0.800475416
9.05E+00,32.58000069,125.4670339,2.189651551,0.697341258
8.74E+00,31.46399918,124.9194303,2.18009477,0.694297697
8.35E+00,30.06000137,131.3587567,2.292473939,0.730087242
7.98E+00,28.72800007,133.3901674,2.327926133,0.741377749
7.84E+00,28.22400055,142.9126437,2.494112455,0.79430333
7.95E+00,28.61999931,129.597008,2.261727888,0.720295506
8.02E+00,28.87200165,130.6897912,2.280799148,0.726369156
8.01E+00,28.83600082,137.6064314,2.401508401,0.764811593
7.91E+00,28.47599945,131.4086531,2.293344731,0.730364564
7.66E+00,27.57599945,143.2840445,2.500594145,0.796367562
7.62E+00,27.43199959,135.4475308,2.363831253,0.752812501
7.64E+00,27.50399952,112.4591379,1.96263766,0.625043841
7.28E+00,26.20800076,131.6839563,2.298149325,0.731894689
7.09E+00,25.52400055,142.5797384,2.48830259,0.792453054
6.77E+00,24.37199993,139.3030908,2.431118513,0.774241565
6.32E+00,22.75200062,138.0966944,2.410064475,0.767536457
6.21E+00,22.35600014,137.5513425,2.40054699,0.764505411
6.37E+00,22.93199959,134.0287491,2.339070665,0.744926963
6.36E+00,22.89600048,134.6095702,2.349207159,0.748155146
6.21E+00,22.35600014,147.966812,2.582317836,0.822394215
6.43E+00,23.14799938,149.8770756,2.61565577,0.833011392
6.38E+00,22.96800041,144.47424,2.521365445,0.802982626
6.38E+00,22.96800041,163.4903646,2.853234984,0.908673562
6.47E+00,23.29199924,151.0172249,2.635553663,0.8393483
6.50E+00,23.4,145.9796551,2.54763796,0.811349669
6.70E+00,24.11999931,125.8806862,2.196870614,0.699640323
6.84E+00,24.62400055,138.6771836,2.420195176,0.770762795
7.23E+00,26.02800007,136.1282538,2.375711236,0.756595935
7.28E+00,26.20800076,133.8875095,2.33660575,0.744141959
7.57E+00,27.25200062,129.2649638,2.255933051,0.718450016
7.72E+00,27.79199924,129.3319787,2.257102595,0.718822483
7.64E+00,27.50399952,133.5748225,2.331148735,0.742404056
7.54E+00,27.14399986,137.5653598,2.40079162,0.764583318
7.61E+00,27.39600048,139.4193502,2.433147473,0.77488773
7.10E+00,25.55999966,134.5639919,2.348411726,0.747901824
6.87E+00,24.73199959,138.6641002,2.419966845,0.770690078
